@relation german-weka.filters.unsupervised.instance.Randomize-S42

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute class {class1,class2}

@data
-0.4588,-0.7383,-0.50318,-0.17828,-0.80215,1.1993,-0.3178,0.91802,1.8614,-0.30353,-1.6716,-1.2931,-1.1908,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
0.33634,1.2519,-0.50318,-0.10345,0.91285,-0.69936,-0.3178,0.91802,0.4491,-0.30353,-1.6716,0.61131,-1.015,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
1.1315,-0.98708,-0.50318,0.04619,-0.64556,-0.69936,0.5098,0.024135,-0.96317,-0.30353,-0.76559,0.61131,-0.75127,0.4606,0.13364,1.0266,0.14688,-0.42808,-0.82291,-0.19592,class2
1.1315,0.25682,-0.50318,-0.10345,-0.60907,-0.69936,0.5098,0.024135,0.4491,-0.30353,-1.6716,0.61131,-0.31172,-2.3739,0.13364,-0.70457,0.14688,2.3337,-0.82291,-0.19592,class2
1.1315,-0.24074,1.3433,-0.10345,0.9915,-0.69936,1.3374,0.024135,0.4491,-0.30353,1.0465,0.61131,-0.22381,0.4606,0.13364,1.0266,0.14688,-0.42808,1.214,-0.19592,class2
-0.4588,1.2519,1.3433,-0.17828,-0.15987,-0.69936,-1.1454,0.91802,-2.3754,-0.30353,1.0465,0.61131,-0.75127,0.4606,0.13364,1.0266,0.14688,-0.42808,-0.82291,-0.19592,class1
0.33634,-0.90415,-0.50318,-0.12839,-0.70721,-0.69936,-1.1454,0.91802,-0.96317,-0.30353,-0.76559,-0.34088,-1.1029,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
1.1315,0.25682,1.3433,-0.12839,0.17917,1.1993,-0.3178,0.91802,0.4491,-0.30353,1.0465,-1.2931,1.2706,0.4606,0.13364,-0.70457,0.14688,-0.42808,1.214,-0.19592,class2
-0.4588,-0.98708,-0.50318,-0.12839,-0.83368,-0.69936,-0.3178,0.91802,-0.96317,-0.30353,-1.6716,-0.34088,-0.48754,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class1
-0.4588,-0.65537,-0.50318,-0.10345,-0.41458,-0.69936,-1.1454,-0.86975,-0.96317,3.8831,1.0465,-0.34088,-1.1029,0.4606,0.13364,-0.70457,-1.3831,-0.42808,-0.82291,-0.19592,class2
-1.2539,0.25682,-0.50318,-0.12839,-0.013199,-0.69936,-1.1454,0.91802,-0.96317,-0.30353,1.0465,-1.2931,-1.1029,0.4606,-1.7487,-0.70457,-1.3831,-0.42808,1.214,-0.19592,class1
-0.4588,4.2373,-0.50318,-0.10345,0.82322,-0.066455,-0.3178,-0.86975,1.8614,-0.30353,-0.76559,0.61131,-1.015,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class1
-1.2539,0.75439,-2.3497,-0.12839,0.46471,-0.69936,-0.3178,-0.86975,-2.3754,3.8831,-0.76559,-1.2931,-0.31172,0.4606,0.13364,1.0266,0.14688,-0.42808,-0.82291,-0.19592,class2
-1.2539,0.25682,-0.50318,-0.10345,-0.51307,-0.69936,-1.973,0.91802,0.4491,-0.30353,-0.76559,0.61131,-0.48754,-0.95663,0.13364,-0.70457,1.6768,2.3337,-0.82291,-0.19592,class1
1.1315,0.25682,-0.50318,-0.12839,0.79346,-0.066455,-0.3178,0.91802,0.4491,-0.30353,-1.6716,0.61131,-0.92708,-0.95663,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
1.1315,0.090971,-0.50318,-0.17828,-0.70437,1.8323,0.5098,0.91802,-0.96317,-0.30353,1.0465,-0.34088,-0.92708,0.4606,-1.7487,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
1.1315,-0.90415,-0.50318,-0.17828,-0.69516,1.8323,-0.3178,0.91802,0.4491,3.8831,1.0465,-0.34088,-0.75127,0.4606,0.13364,-0.70457,-1.3831,-0.42808,-0.82291,-0.19592,class1
-1.2539,-0.98708,1.3433,-0.17828,-0.16731,-0.69936,-0.3178,-0.86975,0.4491,-0.30353,-0.76559,-1.2931,0.03991,0.4606,-1.7487,1.0266,0.14688,2.3337,-0.82291,-0.19592,class2
1.1315,0.25682,-0.50318,-0.12839,-0.82978,1.8323,0.5098,0.91802,0.4491,-0.30353,-0.76559,0.61131,-0.39963,-0.95663,0.13364,-0.70457,0.14688,-0.42808,1.214,-0.19592,class2
-1.2539,3.2422,-0.50318,0.04619,1.4262,-0.69936,1.3374,0.91802,0.4491,1.7898,1.0465,1.5635,0.03991,0.4606,-1.7487,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class1
-0.4588,0.25682,1.3433,-0.10345,-0.54141,-0.69936,1.3374,0.91802,0.4491,-0.30353,-0.76559,-0.34088,1.0948,0.4606,0.13364,1.0266,-1.3831,-0.42808,-0.82291,-0.19592,class2
1.1315,2.2471,1.3433,0.04619,1.5438,1.8323,1.3374,0.91802,-2.3754,-0.30353,-0.76559,0.61131,0.919,-2.3739,0.13364,1.0266,1.6768,2.3337,-0.82291,-0.19592,class2
-1.2539,-0.90415,1.3433,-0.17828,-0.79117,-0.69936,0.5098,0.91802,0.4491,1.7898,0.14043,-0.34088,1.1827,0.4606,0.13364,1.0266,0.14688,-0.42808,1.214,-0.19592,class2
-0.4588,1.7495,1.3433,0.04619,0.9504,-0.69936,0.5098,-0.86975,-0.96317,-0.30353,-1.6716,-1.2931,0.47945,-2.3739,0.13364,1.0266,-1.3831,-0.42808,-0.82291,-0.19592,class2
1.1315,-0.24074,-0.50318,-0.12839,-0.26792,-0.69936,-0.3178,0.024135,0.4491,-0.30353,1.0465,-1.2931,0.65527,0.4606,0.13364,-0.70457,0.14688,-0.42808,1.214,-0.19592,class2
-1.2539,-0.24074,-1.4264,-0.12839,-0.60872,-0.69936,-0.3178,0.91802,0.4491,-0.30353,0.14043,0.61131,0.74318,-2.3739,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class1
-0.4588,0.75439,-2.3497,0.04619,0.35736,-0.066455,-0.3178,0.91802,-0.96317,-0.30353,1.0465,0.61131,-0.83917,0.4606,-1.7487,1.0266,-1.3831,-0.42808,-0.82291,-0.19592,class1
1.1315,-0.7383,1.3433,-0.12839,-0.5949,1.1993,0.5098,0.024135,-0.96317,-0.30353,-0.76559,-0.34088,-0.047998,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,5.0991,class2
1.1315,-0.48952,-0.50318,-0.17828,0.72722,0.56645,1.3374,-1.7636,-0.96317,-0.30353,1.0465,1.5635,-0.047998,0.4606,2.0159,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
1.1315,0.25682,1.3433,-0.12839,-0.44044,-0.69936,0.5098,-0.86975,0.4491,-0.30353,-0.76559,-0.34088,-0.48754,0.4606,0.13364,1.0266,-1.3831,-0.42808,-0.82291,-0.19592,class2
-0.4588,-0.24074,-0.50318,-0.053572,0.21282,-0.69936,-1.973,-0.86975,-0.96317,-0.30353,1.0465,0.61131,2.7651,0.4606,0.13364,-0.70457,0.14688,-0.42808,1.214,-0.19592,class2
1.1315,-0.48952,1.3433,-0.12839,-0.62041,1.8323,1.3374,0.91802,0.4491,-0.30353,1.0465,-0.34088,2.4134,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
-1.2539,-0.24074,-0.50318,-0.12839,-0.75822,-0.69936,-1.973,0.91802,-0.96317,-0.30353,-0.76559,0.61131,-0.22381,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class1
1.1315,0.25682,-0.50318,-0.15333,-0.20982,-0.69936,-1.1454,0.91802,-0.96317,-0.30353,-1.6716,1.5635,-0.57545,0.4606,0.13364,-0.70457,1.6768,-0.42808,1.214,-0.19592,class2
1.1315,0.25682,-0.50318,-0.15333,1.0776,1.8323,1.3374,0.024135,0.4491,-0.30353,1.0465,0.61131,0.47945,0.4606,0.13364,-0.70457,1.6768,2.3337,1.214,-0.19592,class2
-1.2539,-0.7383,-0.50318,-0.10345,-0.90134,-0.066455,-1.1454,0.91802,1.8614,-0.30353,0.14043,1.5635,-0.22381,0.4606,0.13364,-0.70457,-1.3831,-0.42808,1.214,-0.19592,class1
1.1315,0.008044,-0.50318,-0.15333,0.70029,1.8323,-0.3178,-1.7636,0.4491,-0.30353,0.14043,0.61131,-0.83917,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
-1.2539,0.75439,-0.50318,-0.12839,-0.057837,-0.69936,-1.1454,-0.86975,-2.3754,-0.30353,1.0465,-0.34088,-0.39963,0.4606,0.13364,-0.70457,-1.3831,-0.42808,-0.82291,-0.19592,class1
-0.4588,2.2471,-0.50318,9.0497,0.74741,1.8323,-1.973,0.024135,0.4491,-0.30353,1.0465,1.5635,0.39154,-2.3739,2.0159,-0.70457,-2.913,-0.42808,1.214,-0.19592,class2
-0.4588,1.2519,-2.3497,0.04619,-0.46701,-0.69936,1.3374,0.91802,0.4491,-0.30353,1.0465,1.5635,2.2376,0.4606,2.0159,-0.70457,1.6768,-0.42808,1.214,-0.19592,class1
-0.4588,-0.24074,-0.50318,-0.15333,-0.17439,-0.69936,-0.3178,-1.7636,1.8614,-0.30353,0.14043,0.61131,-1.2787,0.4606,-1.7487,-0.70457,0.14688,-0.42808,1.214,-0.19592,class2
-1.2539,-0.82123,1.3433,-0.17828,0.23656,-0.69936,-0.3178,-1.7636,0.4491,-0.30353,-0.76559,-1.2931,0.39154,0.4606,0.13364,1.0266,-1.3831,2.3337,-0.82291,-0.19592,class2
-1.2539,1.2519,0.42008,-0.028632,1.2809,-0.69936,-0.3178,0.91802,0.4491,-0.30353,0.14043,-0.34088,-0.57545,-0.95663,0.13364,-0.70457,0.14688,-0.42808,1.214,-0.19592,class1
1.1315,0.008044,0.42008,-0.12839,-0.59526,-0.066455,0.5098,0.91802,0.4491,-0.30353,0.14043,-1.2931,-0.13591,0.4606,0.13364,1.0266,1.6768,-0.42808,-0.82291,-0.19592,class2
1.1315,0.25682,1.3433,-0.10345,-0.2456,1.1993,1.3374,-0.86975,0.4491,-0.30353,-0.76559,0.61131,-0.13591,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
-0.4588,-0.24074,-0.50318,-0.15333,3.4381,-0.69936,-1.973,0.024135,-0.96317,-0.30353,1.0465,1.5635,0.21573,0.4606,2.0159,-0.70457,1.6768,-0.42808,1.214,-0.19592,class1
-1.2539,-0.24074,-0.50318,-0.17828,-0.81313,-0.69936,-1.1454,-1.7636,-0.96317,-0.30353,-0.76559,0.61131,-1.1029,0.4606,0.13364,-0.70457,-1.3831,-0.42808,-0.82291,-0.19592,class1
-0.4588,-0.7383,-0.50318,-0.10345,1.1325,1.8323,-1.973,-0.86975,0.4491,-0.30353,-1.6716,1.5635,1.4464,0.4606,0.13364,-0.70457,1.6768,-0.42808,1.214,-0.19592,class1
1.1315,2.2471,-0.50318,0.04619,0.2277,1.8323,-0.3178,0.91802,-2.3754,-0.30353,-0.76559,-1.2931,0.21573,-2.3739,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class1
1.1315,-0.24074,0.42008,-0.12839,-0.51838,-0.69936,0.5098,0.91802,-0.96317,-0.30353,-1.6716,-1.2931,-1.1908,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class1
1.1315,-0.7383,1.3433,-0.12839,-0.71323,-0.69936,-1.1454,-0.86975,-0.96317,-0.30353,1.0465,-0.34088,-1.1908,0.4606,-1.7487,1.0266,-1.3831,-0.42808,-0.82291,-0.19592,class2
1.1315,-0.90415,1.3433,-0.12839,-0.42592,1.8323,-0.3178,-0.86975,1.8614,-0.30353,-1.6716,0.61131,-0.83917,0.4606,0.13364,1.0266,0.14688,-0.42808,-0.82291,5.0991,class2
1.1315,-0.7383,-0.50318,-0.10345,-0.84502,1.8323,-0.3178,0.91802,-0.96317,-0.30353,-0.76559,0.61131,-1.2787,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
-1.2539,0.25682,-1.4264,-0.12839,1.2756,-0.69936,-1.1454,-0.86975,-2.3754,-0.30353,-1.6716,-0.34088,1.7102,-2.3739,0.13364,-0.70457,0.14688,-0.42808,1.214,-0.19592,class1
-0.4588,-0.24074,-0.50318,-0.10345,-0.698,-0.69936,1.3374,0.91802,1.8614,3.8831,-0.76559,-1.2931,-0.31172,0.4606,0.13364,-0.70457,-1.3831,-0.42808,-0.82291,-0.19592,class2
-1.2539,0.25682,-0.50318,-0.15333,-0.12302,-0.69936,-0.3178,0.024135,0.4491,3.8831,1.0465,1.5635,2.4134,-2.3739,0.13364,-0.70457,0.14688,2.3337,1.214,-0.19592,class2
1.1315,-0.24074,1.3433,-0.10345,-0.76991,-0.69936,-1.973,0.91802,-0.96317,-0.30353,1.0465,0.61131,2.5893,0.4606,0.13364,1.0266,-2.913,-0.42808,-0.82291,-0.19592,class2
1.1315,0.50561,-0.50318,-0.17828,-0.24843,-0.69936,-0.3178,0.024135,-0.96317,-0.30353,0.14043,-1.2931,-1.2787,0.4606,-1.7487,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class1
-1.2539,-0.24074,-0.50318,-0.10345,-0.31255,-0.69936,-1.1454,0.91802,-0.96317,-0.30353,-1.6716,0.61131,-0.75127,-0.95663,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
0.33634,-0.7383,-1.4264,-0.10345,-1.014,1.1993,-0.3178,0.024135,-0.96317,-0.30353,0.14043,-1.2931,0.56736,0.4606,-1.7487,1.0266,0.14688,-0.42808,-0.82291,-0.19592,class2
1.1315,-0.7383,-0.50318,-0.10345,-0.71181,-0.69936,-0.3178,0.024135,0.4491,-0.30353,-0.76559,0.61131,-0.92708,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
1.1315,-0.98708,-0.50318,-0.12839,-0.45745,-0.69936,-1.1454,-0.86975,-0.96317,1.7898,-0.76559,0.61131,-1.4545,0.4606,-1.7487,1.0266,0.14688,-0.42808,-0.82291,-0.19592,class1
-1.2539,-0.48952,-0.50318,-0.17828,-0.5492,-0.69936,-1.1454,-0.86975,0.4491,-0.30353,0.14043,-1.2931,0.03991,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
1.1315,-0.48952,-0.50318,-0.10345,-0.72917,0.56645,1.3374,0.91802,0.4491,-0.30353,0.14043,-0.34088,1.0069,-0.95663,0.13364,-0.70457,0.14688,-0.42808,1.214,-0.19592,class2
1.1315,0.75439,1.3433,-0.10345,1.2296,1.8323,0.5098,-0.86975,0.4491,-0.30353,0.14043,-0.34088,0.03991,0.4606,0.13364,1.0266,0.14688,-0.42808,-0.82291,-0.19592,class2
1.1315,0.25682,-0.50318,-0.15333,0.076784,-0.066455,0.5098,0.024135,-0.96317,-0.30353,1.0465,0.61131,-1.1029,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
-0.4588,0.75439,-0.50318,-0.10345,-0.55133,1.8323,-0.3178,0.91802,-0.96317,-0.30353,-1.6716,0.61131,-0.83917,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
1.1315,2.2471,-1.4264,0.04619,0.11965,-0.69936,-0.3178,-1.7636,-0.96317,-0.30353,-1.6716,-1.2931,-0.75127,-0.95663,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
1.1315,0.25682,-0.50318,-0.15333,2.1276,1.8323,-0.3178,-0.86975,-2.3754,-0.30353,1.0465,1.5635,1.0948,0.4606,2.0159,-0.70457,0.14688,-0.42808,1.214,-0.19592,class2
-0.4588,0.008044,1.3433,-0.12839,-0.18644,1.1993,0.5098,0.024135,0.4491,-0.30353,-0.76559,0.61131,-0.31172,0.4606,0.13364,1.0266,0.14688,-0.42808,1.214,-0.19592,class2
1.1315,0.75439,-0.50318,-0.10345,-0.33239,0.56645,1.3374,0.91802,0.4491,-0.30353,-0.76559,0.61131,-0.48754,-2.3739,0.13364,-0.70457,1.6768,-0.42808,-0.82291,-0.19592,class2
-0.4588,-0.48952,-0.50318,-0.053572,-0.62254,-0.066455,-0.3178,0.91802,0.4491,3.8831,-0.76559,-1.2931,-1.1908,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
-0.4588,0.008044,-0.50318,0.04619,-0.17864,-0.066455,1.3374,0.91802,-2.3754,-0.30353,-0.76559,0.61131,2.2376,-2.3739,-1.7487,1.0266,-1.3831,-0.42808,-0.82291,-0.19592,class1
1.1315,-0.7383,-0.50318,-0.17828,-0.14605,1.8323,-1.973,0.91802,0.4491,-0.30353,1.0465,1.5635,0.21573,0.4606,0.13364,-0.70457,1.6768,-0.42808,1.214,-0.19592,class2
-1.2539,0.25682,-0.50318,-0.17828,-0.83474,1.8323,1.3374,0.91802,-0.96317,-0.30353,-0.76559,0.61131,-0.57545,-2.3739,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class1
1.1315,0.25682,-0.50318,-0.10345,-0.34975,-0.69936,0.5098,0.91802,0.4491,-0.30353,-0.76559,0.61131,-0.66336,0.4606,0.13364,-0.70457,0.14688,-0.42808,1.214,-0.19592,class2
1.1315,3.2422,1.3433,-0.17828,3.7144,1.8323,1.3374,-0.86975,0.4491,-0.30353,1.0465,1.5635,2.4134,-2.3739,2.0159,-0.70457,1.6768,-0.42808,1.214,-0.19592,class2
1.1315,0.25682,1.3433,-0.15333,-0.32779,-0.69936,0.5098,0.91802,0.4491,-0.30353,0.14043,0.61131,-0.047998,0.4606,0.13364,1.0266,0.14688,-0.42808,1.214,-0.19592,class2
-1.2539,-0.24074,1.3433,-0.17828,0.71942,-0.69936,1.3374,-0.86975,0.4491,-0.30353,1.0465,1.5635,0.03991,0.4606,2.0159,2.7577,1.6768,-0.42808,1.214,-0.19592,class2
-0.4588,0.75439,-0.50318,-0.17828,-0.39722,-0.69936,-0.3178,0.91802,-0.96317,3.8831,-0.76559,1.5635,-1.015,-2.3739,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class1
1.1315,-0.24074,1.3433,-0.10345,-0.75184,1.1993,-0.3178,0.91802,0.4491,-0.30353,0.14043,-1.2931,0.919,0.4606,0.13364,1.0266,0.14688,-0.42808,-0.82291,-0.19592,class2
-1.2539,-0.82123,1.3433,-0.17828,0.22451,-0.69936,-0.3178,-0.86975,0.4491,-0.30353,-0.76559,-1.2931,0.03991,0.4606,-1.7487,1.0266,0.14688,2.3337,-0.82291,-0.19592,class2
1.1315,2.2471,-0.50318,0.04619,0.55717,-0.69936,-1.973,0.024135,0.4491,-0.30353,-0.76559,0.61131,-0.22381,-2.3739,-1.7487,-0.70457,1.6768,-0.42808,1.214,-0.19592,class1
-1.2539,-0.24074,1.3433,-0.10345,-0.49288,-0.69936,0.5098,0.91802,1.8614,-0.30353,-1.6716,-0.34088,-0.31172,0.4606,0.13364,1.0266,1.6768,-0.42808,1.214,-0.19592,class2
1.1315,-0.7383,1.3433,-0.10345,-0.3331,1.8323,1.3374,-1.7636,0.4491,1.7898,1.0465,-1.2931,1.1827,0.4606,0.13364,-0.70457,0.14688,-0.42808,1.214,-0.19592,class2
-1.2539,0.25682,-1.4264,-0.15333,0.1278,-0.69936,-0.3178,-1.7636,-0.96317,3.8831,1.0465,0.61131,-1.1908,-2.3739,-1.7487,-0.70457,0.14688,-0.42808,-0.82291,5.0991,class2
1.1315,-1.2359,0.42008,0.04619,-0.54141,-0.066455,-0.3178,-1.7636,0.4491,-0.30353,-0.76559,-1.2931,-0.13591,0.4606,0.13364,1.0266,-1.3831,-0.42808,-0.82291,-0.19592,class2
1.1315,0.25682,-0.50318,-0.17828,-0.61864,1.1993,0.5098,0.91802,-0.96317,-0.30353,0.14043,0.61131,-0.13591,0.4606,0.13364,-0.70457,0.14688,2.3337,1.214,-0.19592,class2
1.1315,0.25682,0.42008,-0.17828,-0.25977,-0.69936,1.3374,0.91802,0.4491,-0.30353,1.0465,0.61131,1.0069,0.4606,0.13364,1.0266,-1.3831,2.3337,-0.82291,-0.19592,class1
1.1315,-0.82123,1.3433,-0.17828,1.4017,-0.69936,-0.3178,-1.7636,0.4491,-0.30353,1.0465,-0.34088,0.30364,0.4606,0.13364,1.0266,-1.3831,-0.42808,-0.82291,-0.19592,class2
-1.2539,0.25682,-0.50318,-0.12839,-0.53999,-0.69936,-1.1454,0.91802,0.4491,1.7898,-1.6716,-0.34088,-1.015,0.4606,0.13364,-0.70457,-1.3831,-0.42808,-0.82291,5.0991,class2
1.1315,-0.98708,1.3433,-0.17828,-0.72527,-0.69936,-0.3178,0.024135,0.4491,-0.30353,-1.6716,-1.2931,-0.48754,0.4606,0.13364,1.0266,0.14688,-0.42808,-0.82291,-0.19592,class2
-1.2539,-0.7383,1.3433,-0.17828,-0.4075,-0.69936,-0.3178,0.91802,0.4491,-0.30353,-0.76559,-0.34088,-0.48754,0.4606,0.13364,1.0266,0.14688,-0.42808,-0.82291,-0.19592,class2
-1.2539,-0.24074,-0.50318,-0.10345,-0.2378,-0.69936,-0.3178,0.91802,0.4491,-0.30353,1.0465,1.5635,2.5893,0.4606,2.0159,1.0266,0.14688,-0.42808,-0.82291,-0.19592,class1
1.1315,-0.7383,-0.50318,-0.10345,-0.38978,-0.69936,-1.1454,-0.86975,-0.96317,-0.30353,-0.76559,0.61131,-0.57545,-2.3739,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
