@relation image-weka.filters.unsupervised.instance.Randomize-S42

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute class {class1,class2}

@data
0.86471,0.1667,-0.35697,-0.19451,-0.57824,-0.12136,-0.53315,-0.13885,-0.79591,-0.69892,-0.83649,-0.83203,1.5272,-0.92355,0.033299,-0.85488,0.48919,0.28349,class1
-1.2598,0.44504,-0.35697,-0.19451,-0.4959,-0.12169,-0.4716,-0.13759,-0.82792,-0.81943,-0.81606,-0.8412,0.75028,-0.59995,0.26415,-0.8497,0.66334,-0.40302,class1
-0.17701,-0.059448,2.4101,-0.19451,-0.20772,-0.10428,-0.056093,-0.11112,-0.40591,-0.43571,-0.35658,-0.43177,0.059641,-0.003858,-0.053269,-0.38374,-0.17583,-0.52708,class2
-0.08106,1.1931,2.4101,-0.19451,0.22456,-0.080831,1.0365,-0.10062,0.58947,0.56324,0.70277,0.47265,-0.71732,1.2394,-1.3806,0.69057,-0.49975,-0.43698,class1
-0.73899,-0.58133,-0.35697,-0.19451,0.32748,-0.08106,0.74413,-0.084501,-0.37777,-0.30886,-0.34637,-0.4776,0.93253,-0.10037,-0.76505,-0.37339,-0.028061,-0.16788,class1
1.2759,-0.14643,-0.35697,-0.19451,-0.35181,-0.1154,-0.56393,-0.13355,-0.36904,-0.38179,-0.33872,-0.38899,0.18434,-0.10037,-0.014794,-0.36562,-0.38432,-0.50848,class2
1.646,-1.7469,-0.35697,-0.19451,-0.45473,-0.11917,-0.34848,-0.11935,2.2513,2.2313,2.1961,2.312,-2.0123,1.4779,-0.48611,2.2049,-0.96795,-0.64282,class1
-1.5203,0.1841,-0.35697,-0.19451,-0.55765,-0.1259,-0.56393,-0.1391,-0.8318,-0.74332,-0.87222,-0.85953,1.4793,-0.95193,0.12949,-0.88853,0.70259,0.29137,class1
1.646,1.9933,2.4101,-0.19451,-0.084209,-0.070702,-0.025315,-0.098676,-0.73673,-0.756,-0.86457,-0.55704,0.42414,-1.4572,2.0436,-0.72804,0.74514,2.2577,class2
1.3993,1.2627,-0.35697,-0.19451,0.26573,-0.074663,0.31324,-0.11135,0.26544,0.26514,0.32242,0.1946,-0.21853,0.59791,-0.79391,0.30485,-0.58878,-0.43783,class1
0.65911,1.0887,-0.35697,4.3904,0.49216,-0.080143,0.85186,-0.080538,0.4294,0.43956,0.49856,0.3321,-0.2569,0.81364,-1.1209,0.48347,-0.56323,-0.40467,class1
-0.62933,-0.33779,2.4101,-0.19451,-0.35181,-0.11897,-0.25615,-0.12298,0.73985,0.76938,0.7768,0.65903,-0.33364,0.85338,-1.1113,0.76564,-0.75422,-0.41734,class2
-1.1913,-1.4337,2.4101,-0.19451,-0.04304,-0.089979,-0.20998,-0.10994,-0.38165,-0.34374,-0.33106,-0.47454,0.65435,0.024527,-0.69772,-0.35785,0.022575,-0.26451,class1
0.33014,-1.0336,-0.35697,-0.19451,-0.14596,-0.10179,-0.28693,-0.1323,-0.33994,-0.28983,-0.28256,-0.45316,0.73109,0.10401,-0.90933,-0.30867,0.085242,-0.23425,class1
1.6186,-0.059448,-0.35697,-0.19451,0.94501,-0.030093,-0.24076,-0.10899,0.2829,0.34125,0.27903,0.22821,0.29944,0.20619,-0.64963,0.26084,-0.79529,-0.35451,class2
-0.47856,-0.21601,-0.35697,-0.19451,-0.084209,-0.094604,-0.30232,-0.12279,-0.48255,-0.37228,-0.50464,-0.55704,1.3929,-0.54318,-0.47649,-0.53388,-0.23031,0.018834,class1
-0.47856,0.1841,-0.35697,-0.19451,-0.55765,-0.1269,-0.41004,-0.13759,-0.91524,-0.90823,-0.90796,-0.92064,0.80783,-0.70214,0.37957,-0.9429,1.9911,-0.42078,class2
0.35756,-0.16383,-0.35697,-0.19451,-0.47531,-0.12293,-0.39465,-0.1311,-0.80755,-0.72112,-0.84414,-0.83814,1.4409,-0.90652,0.091011,-0.86783,0.4863,0.22784,class1
-0.42373,0.20149,-0.35697,-0.19451,0.14222,-0.099146,-0.51776,-0.13362,-0.9133,-0.91457,-0.90286,-0.91453,0.73109,-0.67943,0.41805,-0.93772,2.0197,-0.48409,class2
-1.6573,2.1673,-0.35697,-0.19451,0.53332,-0.08687,0.22091,-0.11876,-0.45829,-0.49279,-0.63227,-0.21178,0.059641,-1.5367,2.5438,-0.43551,-0.020772,2.3089,class2
-1.2873,-1.4164,2.4101,-0.19451,-0.2283,-0.11203,-0.41004,-0.12701,2.3571,2.4026,2.242,2.4251,-1.5039,1.1656,-0.46687,2.2515,-1.1049,-0.61574,class1
0.65911,1.1583,2.4101,-0.19451,0.1628,-0.070119,-0.24076,-0.11968,0.35081,0.34443,0.41687,0.27404,-0.34323,0.72849,-0.89009,0.40063,-0.59028,-0.44379,class1
1.6871,1.3322,-0.35697,-0.19451,-0.18713,-0.10607,-0.17921,-0.12032,0.23731,0.24295,0.28414,0.17321,-0.14179,0.50708,-0.71696,0.26602,-0.61421,-0.43688,class1
-0.90347,-0.42477,-0.35697,-0.19451,-0.41356,-0.10881,-0.39465,-0.13413,-0.91718,-0.9336,-0.88754,-0.92675,0.5968,-0.55454,0.3411,-0.92219,2.4494,-0.50917,class1
-1.4929,-0.11164,-0.35697,-0.19451,-0.59882,-0.12392,-0.53315,-0.13658,-0.81628,-0.74015,-0.84414,-0.84731,1.3546,-0.85542,0.091011,-0.87818,0.55485,0.11855,class1
-1.534,-0.35518,-0.35697,-0.19451,-0.18713,-0.11401,-0.040704,-0.10358,-0.54755,-0.43254,-0.57611,-0.61815,1.4889,-0.63969,-0.40916,-0.5986,-0.1226,0.092981,class1
-0.30037,1.7845,-0.35697,-0.19451,-0.063625,-0.089236,-0.22537,-0.11038,-0.6174,-0.64501,-0.74204,-0.43482,0.25148,-1.338,2.0147,-0.62449,0.068167,2.3728,class2
-0.99942,-0.37258,-0.35697,-0.19451,-0.43414,-0.11599,-0.44082,-0.13054,-0.89486,-0.91774,-0.86967,-0.89314,0.52006,-0.56589,0.43728,-0.90407,2.0711,-0.58164,class1
-1.205,-0.33779,-0.35697,-0.19451,2.2007,0.089278,5.4532,0.22742,-0.48255,-0.51182,-0.47656,-0.45621,0.12679,-0.35584,0.47576,-0.50541,0.79156,-0.68734,class1
0.19308,-0.18122,-0.35697,-0.19451,-0.35181,-0.10555,-0.48698,-0.133,-0.20217,-0.2264,-0.16513,-0.22094,-0.055464,0.081298,-0.082125,-0.18959,-0.43585,-0.54158,class2
-1.1913,1.1409,-0.35697,-0.19451,-0.33122,-0.12235,1.0519,0.42636,-0.20896,-0.18518,-0.20598,-0.23316,0.38577,-0.15146,-0.13022,-0.23101,-0.6819,-0.44408,class1
1.084,0.56681,-0.35697,-0.19451,-0.51648,-0.12109,-0.11765,-0.13069,-0.34964,-0.44205,-0.43061,-0.15983,-0.55426,-0.82704,1.957,-0.39151,-0.16582,2.7359,class2
1.1526,2.1847,-0.35697,-0.19451,0.20397,-0.046374,0.097797,-0.068631,-0.69501,-0.72112,-0.82883,-0.50204,0.32822,-1.4629,2.1494,-0.68144,0.4661,2.2776,class2
0.72764,-1.8687,-0.35697,-0.19451,-0.57824,-0.12066,-0.25615,-0.11966,1.9884,1.9047,1.9944,2.0401,-2.3768,1.6709,-0.44763,2.0004,-0.81904,-0.66141,class1
0.79617,-0.79009,-0.35697,-0.19451,-0.31064,-0.11996,-0.45621,-0.11851,2.5802,2.7356,2.362,2.6634,-0.68855,0.66036,-0.4284,2.3732,-1.3238,-0.55822,class1
-1.5203,-0.49435,-0.35697,-0.19451,-0.20772,-0.11172,-0.36387,-0.12962,-0.91136,-0.91774,-0.92583,-0.87787,0.68313,-0.84407,0.74508,-0.96102,1.9587,-0.76995,class1
1.4267,1.2453,-0.35697,-0.19451,0.84209,-0.076515,0.46713,-0.10195,0.27902,0.27466,0.33774,0.20988,-0.26649,0.62062,-0.78429,0.32038,-0.59838,-0.44638,class1
0.75505,0.96693,-0.35697,-0.19451,0.14222,-0.071397,0.59024,-0.016487,-0.041128,-0.042469,-0.001764,-0.086501,0.021273,0.2289,-0.40916,-0.023912,-0.55069,-0.46094,class1
-1.4654,-0.70311,-0.35697,4.3904,1.5831,0.095427,2.8986,0.34928,-0.59412,-0.67989,-0.49443,-0.62426,-0.29527,0.17781,-0.005176,-0.52353,1.042,-0.58972,class1
1.5089,1.2453,-0.35697,-0.19451,-0.001871,-0.080614,0.15935,-0.11061,0.29552,0.28417,0.35561,0.23127,-0.34323,0.64333,-0.74581,0.3385,-0.59703,-0.46475,class1
-0.41002,0.062325,-0.35697,-0.19451,-0.61941,-0.12566,-0.6101,-0.13967,-0.95404,-0.93677,-0.97178,-0.93897,0.93253,-0.90084,0.59118,-1.0076,2.5102,-0.47336,class1
-0.86235,0.28848,-0.35697,-0.19451,0.20397,-0.10484,-0.28693,-0.12852,-0.36807,-0.42619,-0.2749,-0.41955,-0.22812,0.31974,-0.31297,-0.3009,0.076476,-0.52051,class2
-1.5888,-0.54654,-0.35697,-0.19451,-0.18713,-0.073379,0.020852,-0.12525,-0.47091,-0.40082,-0.46124,-0.54482,1.0189,-0.32178,-0.47649,-0.48988,-0.1133,-0.1344,class1
1.6323,-0.2682,-0.35697,-0.19451,1.7066,-0.013536,-0.19459,-0.1261,-0.34964,-0.36594,-0.31574,-0.37066,0.13638,-0.060629,-0.034032,-0.34232,-0.26964,-0.51218,class2
0.39868,1.1409,-0.35697,-0.19451,-0.12538,-0.10396,-0.27154,-0.12554,0.59917,0.58861,0.70532,0.4757,-0.58303,1.1997,-1.448,0.69315,-0.49933,-0.41613,class1
-0.73899,1.2801,-0.35697,-0.19451,0.3069,-0.085947,0.59024,-0.10367,0.48179,0.46493,0.5828,0.37182,-0.54466,1.0691,-1.2652,0.5689,-0.49124,-0.42801,class1
-1.5203,-0.58133,2.4101,-0.19451,0.38923,-0.07301,0.25169,-0.085572,-0.83957,-0.86383,-0.8467,-0.79842,0.46251,-0.7362,0.78355,-0.88077,1.307,-0.82603,class1
-0.86235,0.93213,-0.35697,-0.19451,-0.2283,-0.10769,-0.20998,-0.12414,0.36731,0.38565,0.43474,0.26488,-0.1322,0.7512,-1.1402,0.41875,-0.52857,-0.38381,class1
1.5638,-0.52915,-0.35697,-0.19451,0.57449,0.17364,-0.37926,-0.1255,-0.59315,-0.65452,-0.48932,-0.65176,-0.074648,0.20619,-0.2745,-0.51835,0.65748,-0.50125,class2
-0.50597,-0.14643,-0.35697,-0.19451,-0.084209,-0.086676,0.48252,-0.068568,-0.39329,-0.32788,-0.3719,-0.4776,0.91334,-0.17985,-0.61115,-0.39927,-0.12934,-0.16608,class1
1.7557,-0.84228,-0.35697,-0.19451,-0.45473,-0.12136,-0.42543,-0.13362,1.3491,1.1182,1.6473,1.1998,-3.1921,3.0958,-2.0443,1.6484,-0.21117,-0.5624,class1
-0.68416,-0.35518,2.4101,-0.19451,-0.18713,-0.0932,-0.14843,-0.12153,-0.47382,-0.3596,-0.49188,-0.55704,1.4217,-0.50912,-0.56306,-0.52094,-0.16866,0.018617,class1
-0.10847,1.7498,-0.35697,-0.19451,0.4304,-0.070232,0.17474,-0.088795,-0.43986,-0.49596,-0.60675,-0.18122,-0.15139,-1.4742,2.6496,-0.40963,0.06405,2.373,class2
1.5638,0.6364,-0.35697,-0.19451,-0.022456,-0.10674,0.97497,-0.062018,0.21208,0.14464,0.32498,0.1396,-0.78447,0.92719,-0.78429,0.30744,-0.32748,-0.51775,class1
-1.4517,0.41025,-0.35697,-0.19451,-0.61941,-0.12566,-0.53315,-0.13885,-0.86188,-0.82577,-0.86201,-0.88703,1.0284,-0.70782,0.16796,-0.88853,1.2542,-0.072959,class1
0.001181,-1.1728,-0.35697,-0.19451,0.28631,-0.046043,0.082408,-0.11341,-0.22061,-0.19152,-0.14982,-0.33094,0.44333,0.29135,-0.93819,-0.17406,-0.056735,-0.29574,class1
0.16566,-0.51175,5.1773,-0.19451,-0.084209,-0.10947,0.34402,-0.09105,-0.41464,-0.34691,-0.38722,-0.50815,0.95171,-0.15714,-0.6881,-0.4148,0.004023,-0.171,class1
-0.1633,-0.16383,-0.35697,-0.19451,-0.35181,-0.11599,-0.57932,-0.13866,-0.29434,-0.3374,-0.21874,-0.3401,-0.15139,0.26297,-0.29374,-0.24395,-0.14439,-0.51111,class2
0.30273,-0.21601,-0.35697,-0.19451,-0.55765,-0.12392,-0.54854,-0.13816,-0.8221,-0.73698,-0.85435,-0.85648,1.4409,-0.88949,0.062155,-0.88077,0.71997,0.20802,class1
-0.30037,-1.0336,-0.35697,-0.19451,-0.45473,-0.11172,-0.30232,-0.12455,1.8788,1.8127,1.8847,1.9148,-2.1274,1.5801,-0.54382,1.8891,-0.83263,-0.64228,class1
-1.0954,1.4192,-0.35697,-0.19451,0.018713,-0.078361,0.25169,-0.097156,0.34596,0.34443,0.40411,0.27404,-0.29527,0.67172,-0.842,0.38769,-0.61023,-0.44117,class1
-1.3969,-0.54654,-0.35697,4.3904,0.82151,-0.023924,1.2674,-0.043452,-0.63874,-0.68624,-0.58632,-0.64871,0.088418,-0.17417,0.20643,-0.61672,0.60447,-0.59383,class1
-1.2598,0.13191,-0.35697,-0.19451,-0.53707,-0.10931,-0.39465,-0.12155,-0.95113,-0.93042,-0.97433,-0.93286,0.9613,-0.9349,0.62004,-1.0102,-0.085347,-0.47336,class1
-0.91717,0.28848,-0.35697,-0.19451,-0.68116,-0.1269,-0.6101,-0.13967,-0.96375,-0.93677,-0.9973,-0.93897,1.0284,-1.0144,0.68737,-1.0335,1.5369,-0.47336,class2
-0.12218,1.5236,-0.35697,-0.19451,-0.063625,-0.10212,-0.22537,-0.11114,-0.61061,-0.61964,-0.73183,-0.4501,0.41455,-1.3096,1.8031,-0.63743,-0.22578,2.3651,class2
-1.2461,-0.14643,-0.35697,-0.19451,-0.51648,-0.11864,-0.45621,-0.12984,-0.80561,-0.72746,-0.83393,-0.83814,1.3642,-0.84975,0.071773,-0.86524,0.50368,0.1213,class1
-1.2736,-0.49435,-0.35697,-0.19451,-0.2283,-0.1041,-0.056093,-0.087524,-0.88807,-0.91457,-0.84414,-0.90536,0.4817,-0.43532,0.25453,-0.87818,2.1581,-0.51061,class1
1.0429,0.027533,2.4101,-0.19451,-0.063625,-0.097423,1.6983,-0.042812,0.16552,0.25246,0.11055,0.14571,0.65435,-0.23094,-0.26488,0.08999,-1.0267,-0.30911,class2
-0.47856,1.1409,-0.35697,-0.19451,-0.37239,-0.10993,-0.37926,-0.1261,-0.63292,-0.63867,-0.7982,-0.4226,0.46251,-1.6218,2.2841,-0.61413,0.30749,2.1668,class2
1.4815,-0.45956,-0.35697,-0.19451,-0.55765,-0.12293,-0.51776,-0.13664,-0.91524,-0.9336,-0.88754,-0.92064,0.57762,-0.56589,0.37957,-0.92219,2.4407,-0.53612,class1
-0.93088,-1.4164,-0.35697,-0.19451,0.1628,-0.10793,-0.39465,-0.12828,0.01029,-0.001242,0.082474,-0.065113,-0.11302,0.49005,-0.71696,0.061514,-0.40397,-0.4314,class2
0.52204,0.98432,-0.35697,-0.19451,-0.04304,-0.10088,1.8675,0.94711,-0.17501,-0.15346,-0.18045,-0.18733,0.33781,-0.17985,-0.034032,-0.20512,-0.82521,-0.55276,class1
1.4541,0.010136,-0.35697,-0.19451,0.57449,0.20634,-0.16382,-0.030782,-0.89195,-0.89554,-0.87988,-0.89314,0.69272,-0.65105,0.40843,-0.91442,2.0519,-0.48924,class1
-0.21813,0.044929,-0.35697,-0.19451,-0.39298,-0.1226,-0.48699,-0.13413,-0.77942,-0.68624,-0.82628,-0.80453,1.4793,-0.95193,0.12949,-0.84453,0.10256,0.2907,class1
-0.972,-0.56394,-0.35697,-0.19451,-0.16655,-0.092952,-0.44082,-0.13583,-0.88516,-0.92091,-0.83138,-0.90536,0.39537,-0.36719,0.22567,-0.86524,2.2685,-0.5331,class1
-1.2461,0.70598,-0.35697,-0.19451,-0.37239,-0.11831,-0.31771,-0.13183,-0.67367,-0.67355,-0.77777,-0.54176,0.54884,-1.2471,1.5627,-0.71509,-0.25829,2.3645,class2
-1.1228,0.49723,-0.35697,-0.19451,0.018713,-0.089236,-0.3331,-0.12606,-0.93076,-0.90823,-0.9488,-0.92064,0.9613,-0.88381,0.53347,-0.98432,0.97142,-0.36907,class2
1.0977,-0.7205,-0.35697,-0.19451,-0.24888,-0.1017,0.020852,-0.10331,-0.5718,-0.59744,-0.5174,-0.60593,0.2323,-0.10605,-0.053269,-0.54683,0.13691,-0.47875,class2
-1.4929,-1.2598,-0.35697,-0.19451,-0.43414,-0.11743,-0.44082,-0.12788,2.2504,2.2218,2.2191,2.2906,-2.089,1.6368,-0.67848,2.2282,-0.93329,-0.62612,class1
1.1251,1.5932,-0.35697,-0.19451,0.49216,-0.081812,0.020852,-0.1127,-0.34673,-0.41985,-0.49443,-0.095668,-0.3816,-1.2699,2.5341,-0.33714,-0.074707,2.4814,class2
0.80988,-1.886,-0.35697,-0.19451,-0.53707,-0.12169,-0.45621,-0.13816,2.717,2.8973,2.4335,2.8529,-0.57344,0.33677,0.004443,2.4457,-1.4096,-0.62483,class1
0.82359,-1.5381,-0.35697,-0.19451,-0.18713,-0.10408,-0.34848,-0.1264,1.8875,1.8159,1.8668,1.9607,-2.1849,1.4097,-0.19755,1.871,-0.85729,-0.68419,class1
1.6186,-1.4337,-0.35697,-0.19451,-0.33122,-0.11938,-0.59471,-0.13759,2.5715,2.7292,2.3365,2.6726,-0.65977,0.54114,-0.25526,2.3473,-1.3462,-0.58714,class1
-1.0131,0.30587,-0.35697,-0.19451,-0.4959,-0.12467,-0.6101,-0.13891,-0.9521,-0.92725,-0.97433,-0.93897,0.99967,-0.92923,0.57194,-1.0102,2.0236,-0.36129,class2
0.31644,0.79297,2.4101,-0.19451,-0.31064,-0.11005,-0.16382,-0.095773,-0.45732,-0.50547,-0.58632,-0.2515,-0.065056,-1.2358,2.159,-0.46917,-0.13478,2.4788,class2
0.46721,-0.32039,-0.35697,-0.19451,-0.4959,-0.11612,0.43635,-0.10913,-0.27008,-0.293,-0.23406,-0.28816,0.011681,0.01885,-0.04365,-0.25948,-0.39157,-0.53678,class2
1.0018,1.0365,-0.35697,-0.19451,-0.31064,-0.10096,0.26708,-0.11301,0.44492,0.45859,0.51388,0.34432,-0.23771,0.825,-1.1594,0.499,-0.56183,-0.39607,class1
0.98807,1.0191,-0.35697,-0.19451,0.12164,-0.099234,0.28246,-0.092123,0.49246,0.49348,0.57259,0.39015,-0.39119,0.93854,-1.1979,0.55854,-0.55298,-0.41328,class1
1.3444,0.6538,-0.35697,-0.19451,-0.18713,-0.059505,1.8214,0.38731,0.13059,0.090724,0.18458,0.10294,-0.46793,0.46734,-0.32259,0.16506,-0.51893,-0.59495,class1
-1.3284,1.1235,-0.35697,-0.19451,-0.16655,-0.093943,0.74413,0.18302,-0.18568,-0.16932,-0.1779,-0.20872,0.29944,-0.10037,-0.13022,-0.20253,-0.66151,-0.46635,class1
1.55,-1.1902,-0.35697,-0.19451,-0.43414,-0.11637,-0.39465,-0.13069,2.0069,1.9459,2.0225,2.0248,-2.1849,1.7504,-0.77467,2.0289,-0.83658,-0.61915,class1
0.28902,0.010136,-0.35697,-0.19451,-0.51648,-0.12359,-0.56393,-0.13835,-0.8124,-0.72429,-0.8467,-0.84731,1.4601,-0.89516,0.052536,-0.873,0.59831,0.21883,class1
-1.2324,0.75817,-0.35697,-0.19451,-0.10479,-0.10659,-0.25615,-0.12095,-0.47188,-0.45791,-0.65525,-0.26066,0.51047,-1.6105,2.2167,-0.47693,-0.26889,2.1578,class2
1.5363,0.23629,-0.35697,-0.19451,2.6124,0.065682,0.05163,-0.11373,-0.003292,0.059012,-0.042606,-0.016226,0.56802,-0.265,-0.1206,-0.065331,-0.93048,-0.37408,class2
1.1937,0.28848,-0.35697,-0.19451,0.71858,-0.033555,-0.48699,-0.12884,-0.89486,-0.86066,-0.93859,-0.86564,1.038,-1.0257,0.69699,-0.97396,-1.5681,-0.47336,class2
0.20678,0.027533,-0.35697,-0.19451,-0.45473,-0.12235,0.067019,-0.075936,-0.8677,-0.89237,-0.83649,-0.87175,0.4817,-0.50344,0.36995,-0.87041,1.8672,-0.56385,class1
-1.5888,0.13191,-0.35697,-0.19451,-0.70174,-0.12731,-0.67165,-0.14017,-0.97054,-0.93677,-1.0152,-0.93897,1.0956,-1.0939,0.7547,-1.0516,-1.8698,0.88194,class1
-0.79381,-1.0858,-0.35697,-0.19451,-0.31064,-0.11599,-0.44082,-0.13356,-0.34867,-0.28983,-0.31064,-0.44705,0.81742,-0.032244,-0.76505,-0.33714,-0.048803,-0.21873,class1
-1.5614,-0.094241,-0.35697,-0.19451,-0.59882,-0.12392,-0.56393,-0.1391,-0.9521,-0.93677,-0.96922,-0.93592,0.91334,-0.89516,0.6008,-1.005,2.5102,-0.4981,class1
-1.2598,-0.44216,-0.35697,-0.19451,-0.47531,-0.11367,-0.30232,-0.12455,-0.91718,-0.92091,-0.93349,-0.88398,0.71191,-0.8611,0.74508,-0.96878,1.9992,-0.76747,class1
-1.5888,-0.89447,-0.35697,-0.19451,-0.41356,-0.11476,-0.25615,-0.12751,2.3154,2.3201,2.2267,2.3915,-1.8396,1.3076,-0.37068,2.236,-1.0319,-0.64924,class1
-0.067353,-0.2682,-0.35697,-0.19451,1.0068,-0.049294,-0.20998,-0.11359,0.55067,0.56642,0.5828,0.49098,-0.30486,0.66604,-0.82276,0.5689,-0.76403,-0.44713,class2
0.11084,1.0017,-0.35697,-0.19451,0.18339,-0.079043,0.6518,-0.091459,0.11022,0.14146,0.12332,0.063216,0.19393,0.17781,-0.49573,0.10293,-0.70638,-0.41122,class1
0.20678,2.1499,-0.35697,-0.19451,0.22456,-0.056201,0.067019,-0.079715,-0.75807,-0.76552,-0.87988,-0.59676,0.54884,-1.4345,1.8801,-0.76169,0.5982,2.2524,class2
0.4398,-0.66831,-0.35697,-0.19451,-0.24888,-0.09963,-0.6101,-0.13724,-0.47479,-0.52133,-0.39743,-0.51732,-0.03628,0.12671,-0.17831,-0.42516,0.14074,-0.5164,class2
0.75505,1.0887,2.4101,-0.19451,-0.14596,-0.087213,-0.13304,-0.10988,0.32947,0.3476,0.3939,0.23127,-0.10342,0.7001,-1.0825,0.37733,-0.52881,-0.38515,class1
-0.58821,-0.059448,-0.35697,-0.19451,1.3979,0.91923,0.97497,0.88111,-0.78815,-0.84163,-0.72162,-0.80759,0.15556,-0.20256,0.1872,-0.75392,1.7345,-0.56767,class1
-1.2598,-0.51175,-0.35697,-0.19451,-0.20772,-0.12261,0.036241,-0.11225,-0.81628,-0.8448,-0.83649,-0.75565,0.40496,-0.80433,0.95669,-0.87041,0.80109,-0.97523,class1
-0.14959,-0.042052,-0.35697,-0.19451,-0.53707,-0.12467,-0.50237,-0.13835,-0.8027,-0.70844,-0.84414,-0.83509,1.5081,-0.9349,0.071773,-0.86524,0.44381,0.29028,class1
1.55,-0.44216,-0.35697,-0.19451,-0.20772,-0.098568,-0.31771,-0.13003,0.41387,0.42054,0.47048,0.33515,-0.27608,0.71713,-0.93819,0.455,-0.62101,-0.42895,class2
-1.3421,-1.1554,2.4101,-0.19451,-0.43414,-0.12,-0.4716,-0.13355,0.87276,0.77572,1.055,0.73847,-1.5902,1.932,-1.6788,1.0478,-0.4008,-0.49562,class2
0.67281,-0.84228,-0.35697,-0.19451,-0.14596,-0.11119,-0.009926,-0.12175,0.10634,0.2144,0.033974,0.08766,0.89416,-0.39558,-0.2264,0.012329,-1.0738,-0.23256,class2
1.55,-0.87707,-0.35697,-0.19451,0.14222,-0.095979,-0.25615,-0.12688,0.1694,0.17001,0.20245,0.12738,-0.1322,0.35948,-0.47649,0.18318,-0.66821,-0.47467,class2
1.6186,-0.51175,-0.35697,-0.19451,-0.45473,-0.12037,-0.6101,-0.13967,-0.93949,-0.93042,-0.94115,-0.93592,0.8462,-0.78162,0.47576,-0.97655,2.4129,-0.45838,class2
1.2348,1.2105,-0.35697,-0.19451,0.039297,-0.11579,0.66719,-0.11815,0.21402,0.23026,0.25606,0.14571,-0.026688,0.45599,-0.74581,0.23755,-0.60291,-0.41235,class1
0.52204,0.49723,-0.35697,-0.19451,-0.70174,-0.12731,-0.67165,-0.14017,-0.97054,-0.93677,-1.0152,-0.93897,1.0956,-1.0939,0.7547,-1.0516,-1.8698,0.88194,class2
-0.5745,0.044929,-0.35697,-0.19451,-0.43414,-0.1154,-0.41004,-0.13041,-0.67755,-0.78772,-0.55569,-0.70982,-0.44874,0.25729,0.014062,-0.58566,1.3682,-0.61517,class1
-0.94459,0.28848,-0.35697,-0.19451,-0.35181,-0.11698,-0.59471,-0.1391,-0.82501,-0.83212,-0.7982,-0.8412,0.60639,-0.49777,0.23529,-0.83158,0.93014,-0.45904,class2
